"Step","n_bits: 30 - eval/success_count","n_bits: 30 - eval/success_count__MIN","n_bits: 30 - eval/success_count__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","0","0","0"
"9","0","0","0"
"10","0","0","0"
"11","0","0","0"
"12","0","0","0"
"13","0.0033333332588275275","0","0.009999999776482582"
"14","0.0033333332588275275","0","0.009999999776482582"
"15","0.0033333332588275275","0","0.009999999776482582"
"16","0","0","0"
"17","0.019999999552965164","0.009999999776482582","0.029999999329447746"
"18","0.0366666658471028","0.029999999329447746","0.03999999910593033"
"19","0.02666666607062022","0.019999999552965164","0.029999999329447746"
"20","0.03333333320915699","0.019999999552965164","0.05000000074505806"
"21","0.05666666788359483","0.029999999329447746","0.09000000357627869"
"22","0.02333333281179269","0.009999999776482582","0.029999999329447746"
"23","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"24","0.0699999990562598","0.05999999865889549","0.07999999821186066"
"25","0.06666666766007741","0","0.10999999940395355"
"26","0.08999999860922496","0.07999999821186066","0.10999999940395355"
"27","0.09999999900658925","0.07000000029802322","0.12999999523162842"
"28","0.08333333333333333","0.03999999910593033","0.11999999731779099"
"29","0.11999999980131786","0.07999999821186066","0.17000000178813934"
"30","0.12999999771515527","0.07000000029802322","0.1899999976158142"
"31","0.13666666547457376","0.10999999940395355","0.1599999964237213"
"32","0.1699999968210856","0.07999999821186066","0.25999999046325684"
"33","0.15333333363135657","0.10000000149011612","0.20999999344348907"
"34","0.22000000377496085","0.15000000596046448","0.27000001072883606"
"35","0.20999999344348907","0.1599999964237213","0.25999999046325684"
"36","0.1733333319425583","0.10999999940395355","0.23999999463558197"
"37","0.15000000347693762","0.10000000149011612","0.18000000715255737"
"38","0.24333333472410837","0.2199999988079071","0.2800000011920929"
"39","0.22666666408379874","0.17000000178813934","0.25999999046325684"
"40","0.21666666368643442","0.20999999344348907","0.23000000417232513"
"41","0.2799999962250392","0.23999999463558197","0.3100000023841858"
"42","0.24333332975705466","0.1899999976158142","0.2800000011920929"
"43","0.24999999503294626","0.20999999344348907","0.2800000011920929"
"44","0.3233333279689153","0.20999999344348907","0.38999998569488525"
"45","0.2900000015894572","0.25","0.3499999940395355"
"46","0.3266666730244954","0.30000001192092896","0.3499999940395355"
"47","0.2733333359162013","0.23999999463558197","0.30000001192092896"
"48","0.32999999821186066","0.20999999344348907","0.4099999964237213"
"49","0.4166666666666667","0.4000000059604645","0.44999998807907104"
"50","0.42666666706403095","0.3700000047683716","0.4699999988079071"
"51","0.3400000085433324","0.23000000417232513","0.4300000071525574"
"52","0.399999996026357","0.3799999952316284","0.41999998688697815"
"53","0.41999998688697815","0.3499999940395355","0.5199999809265137"
"54","0.39666666587193805","0.3400000035762787","0.4300000071525574"
"55","0.4999999801317851","0.38999998569488525","0.5799999833106995"
"56","0.43333332737286884","0.38999998569488525","0.5"
"57","0.5300000011920929","0.4099999964237213","0.6299999952316284"
"58","0.5633333126703898","0.5299999713897705","0.6299999952316284"
"59","0.5100000103314718","0.4300000071525574","0.550000011920929"
"60","0.526666671037674","0.46000000834465027","0.5600000023841858"
"61","0.5633333325386047","0.5099999904632568","0.6399999856948853"
"62","0.5466666519641876","0.41999998688697815","0.6299999952316284"
"63","0.6133333444595337","0.6100000143051147","0.6200000047683716"
"64","0.6166666547457377","0.550000011920929","0.6499999761581421"
"65","0.6333333253860474","0.5299999713897705","0.6899999976158142"
"66","0.6566666563351949","0.5899999737739563","0.699999988079071"
"67","0.7066666682561239","0.6200000047683716","0.7900000214576721"
"68","0.6833333373069763","0.6399999856948853","0.7300000190734863"
