Step,n_bits: 40 - eval/success_count,n_bits: 40 - eval/success_count__MIN,n_bits: 40 - eval/success_count__MAX
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0.01,0.01,0.01
39,0,0,0
40,0.01,0.01,0.01
41,0.01,0.01,0.01
42,0,0,0
43,0,0,0
44,0.01,0.01,0.01
45,0,0,0
46,0,0,0
47,0.01,0.01,0.01
48,0,0,0
49,0.01,0.01,0.01
50,0.01,0.01,0.01
51,0.02,0.02,0.02
52,0,0,0
53,0.01,0.01,0.01
54,0.02,0.02,0.02
55,0.01,0.01,0.01
56,0.02,0.02,0.02
57,0.02,0.02,0.02
58,0.029999999,0.029999999,0.029999999
59,0.01,0.01,0.01
60,0.01,0.01,0.01
61,0.01,0.01,0.01
62,0.01,0.01,0.01
63,0.01,0.01,0.01
64,0.02,0.02,0.02
65,0.029999999,0.029999999,0.029999999
66,0.029999999,0.029999999,0.029999999
67,0.02,0.02,0.02
68,0.050000001,0.050000001,0.050000001
69,0.02,0.02,0.02
70,0.01,0.01,0.01
71,0.029999999,0.029999999,0.029999999
72,0.029999999,0.029999999,0.029999999
73,0.029999999,0.029999999,0.029999999
74,0.07,0.07,0.07
75,0.029999999,0.029999999,0.029999999
76,0.07,0.07,0.07
77,0.050000001,0.050000001,0.050000001
78,0.01,0.01,0.01
79,0.050000001,0.050000001,0.050000001
80,0.090000004,0.090000004,0.090000004
81,0.039999999,0.039999999,0.039999999
82,0.039999999,0.039999999,0.039999999
83,0.039999999,0.039999999,0.039999999
84,0.050000001,0.050000001,0.050000001
85,0.01,0.01,0.01
