"Step","n_bits: 50 - eval/success_count","n_bits: 50 - eval/success_count__MIN","n_bits: 50 - eval/success_count__MAX"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0","0","0"
"8","0","0","0"
"9","0","0","0"
"10","0","0","0"
"11","0","0","0"
"12","0","0","0"
"13","0","0","0"
"14","0","0","0"
"15","0","0","0"
"16","0","0","0"
"17","0","0","0"
"18","0","0","0"
"19","0","0","0"
"20","0","0","0"
"21","0","0","0"
"22","0","0","0"
"23","0","0","0"
"24","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"25","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"26","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"27","0","0","0"
"28","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"29","0","0","0"
"30","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"31","0","0","0"
"32","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"33","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"34","0","0","0"
"35","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"36","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"37","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"38","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"39","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"40","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"41","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"42","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"43","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"44","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"45","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"46","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"47","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"48","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"49","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"50","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"51","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"52","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"53","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"54","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"55","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"56","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"57","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"58","0.009999999776482582","0.009999999776482582","0.009999999776482582"
"59","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"60","0.019999999552965164","0.019999999552965164","0.019999999552965164"
"61","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"62","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"63","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"64","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"65","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"66","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"67","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"68","0.07999999821186066","0.07999999821186066","0.07999999821186066"
"69","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"70","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"71","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"72","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"73","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"74","0.10999999940395355","0.10999999940395355","0.10999999940395355"
"75","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"76","0.11999999731779099","0.11999999731779099","0.11999999731779099"
